Num,Review,Review_type
35106,"Мен ұйықтағым келді, өкінішке орай, ертең ерте тұр",bad
35107,"rt 2-де ұйықтап кетті 5-те тұрды, не болды",bad
35108,"Менің миым тез шаршайды, мен бүгін қалай шаршадым",bad
35109,"Джедвордты ешкім білмейді, мен мысық табақшасын қазан деп атағаннан бәрі күледі",bad
35110,"кірген кезде мені кешір, мені қалай екеніңді жаз, сосын кірген кезде мен саған қаншалықты жақсы екенімді жазамын, өйткені біз бірдеңе қиылыспайды",bad
35111,"а-а-а-а-ах дестроя, бұл жерде өте ыстық, айтпақшы, шай ешқашан өзін сасай еткен емес",bad
35112,"ақыры аллиее оо, бұл зоопсихология да презентация",bad
35113,өмірдің мағынасы ананың күлкісі мен сағынамын,bad
35114,"екіден, жарнама бұны нормалардан бұрын және дәл қазір алды",bad
35115,"Мен салқындатқан бірдеңе, мен онымен бірге фотосуретке кезекке тұруым керек еді",bad
35116,"жақсы, ескертемін",bad
35117,"бүгін биде өте көңілді болды, Оляның ауырып қалғанына өкінемін",bad
35118,rt мен оны кинода қалай сағынатын едім,bad
35119,"Неліктен қыс қорқынышты болады, қыста саяхатты қоспағанда, түрлі-түсті ештеңе жоспарланбайды, сондықтан қыс қызықсыз болады",bad
35120,"Мен күндерді бұздым, бірақ Олег Инстаға видео жүктейді",bad
35121,"ұмытқысы келеді, бірақ есте сақтауды тоқтатпайды",bad
35122,"сіз кисулинге арналған сыйлықтар туралы ойлануыңыз керек, мен оның не болатынын білмеймін",bad
35123,қарғыс атсын төсекке,bad
35124,5 жылдық қазан кептелісі,bad
35125,rt Мен өзімнің үшінші курста алған әдісімді теріп жатырмын,bad
35126,rt Мен сен үшін ақымақпын,bad
35127,"э-э, менің музыкаға құлағым апаттан кейін қалпына келмей жатыр",bad
35128,rt кейбір қиындықтар тек қана қылшыққа байланысты,bad
35129,"достарынан өшірілген қыз пайда болды, неге олай етемін, мен сені одан ұрламаймын",bad
35130,"көзімді көру үшін ауруханаға офтальмологқа көріну үшін бардым, одан да жаман болды",bad
35131,"мұндай көңіл-күй таңқаларлық, мен ешкімді де қаламаймын, мен де қаламаймын, уақыт мен шектеусіз көңілді қалаймын",bad
35132,"біз сені күттік, ал сен асылып тұрдың, тозақ қайда екенін біледі",bad
35133,бірақ сіз оны аққұба үшін де көруден бас тарттыңыз,bad
35134,"менің нәресте қуыршағым кресттерді сақтайды, сонда бәрі ойдағыдай болады",bad
35135,rt smoldering good i мен шынымды айтсам не екенін білмеймін,bad
35136,"жақсы, чоооо ол абжаааица",bad
35137,99. Мен үшін аштық ойындарын жазып бересің деп ойладым,bad
35138,рт иә жақсы актер Менің тағы көз жасым бар,bad
35139,үшіншісі - нервтердің көмегімен лас диаррадан үшінші рет кетіру,bad
35140,"және Java қосымшаларын тек Windows-тың қандай да бір бағдарламалық жасақтамасы арқылы ғана орнатуға болады, ең болмағанда ол int-да айтады",bad
35141,"Маған Екатерина деген ат ұнамайды, сондықтан рахмет",bad
35142,"rt сені сағынды, сен әлі жоқсың",bad
35143,хат қағаз Мен ашықхат алғым келеді Мен эпистолярлық жанрдың өліп жатқанын қалаймын,bad
35144,көңіл-күйді сақтау үшін бес сақтаңыз және тәттілерді сақтаңыз,bad
35145,маңызды емес,bad
35146,"Мен де, бірақ мен оны жоғалтып алдым",bad
35147,"толық бақыт үшін маған тек 9 жазба жетіспейді, олардың төртеуі Ресейде көптеген даналардан алынады",bad
35148,"мұндай күн керемет көңіл-күй болды, бірақ тез нашарлады",bad
35149,Харри өзін дәрігер сезінуге шақырды,bad
35150,"қызыл түсті шаш, мен мұны қанша уақыт күттім, бірақ қазір күмәнданамын",bad
35151,"rt трафик бар, бірақ интернет бок сияқты жұмыс істейді",bad
35152,"Мен енді өзімді қорламаймын, бірақ мен адам төзгісіз жалықтырсам да, өзімді жеңуге тырысамын",bad
35153,әрине мен аспириннен қатты қорқамын,bad
35154,тек 3 күн өтті және настяны қатты сағынды,bad
35155,және сол кезде екі апта ішінде ng-ге хат жіберу керек,bad
35156,мектеп оқушысы менің есегімді сипап жіберді,bad
35157,"Мен аязды жек көремін, ал қазірдің өзінде суық",bad
35158,"иә линді білмеймін, бұл компьютерден емес деп айтуға болады",bad
35159,"шындық, олар мені концепция бөлмесіне кіргізбеді, құймақ көрді",bad
35160,"мылқау көрші музыканы толық көлемде қосты, иә, бұл сөзбен айтып жеткізу мүмкін емес нәрсе, ол менен кек алуға бел буған болар, қарғыс атсын",bad
35161,Сертжа Полонский маған Камбоджа түрмесінен фотосурет жіберді,bad
35162,демалыс күндері мен тез дайындалуға үйрендім,bad
35163,Mtvstars-ді 3 секундтан марсқа дейін көруге болады,bad
35164,"Өкінішті, бірақ Латвияның барлық кинотеатрларында барлық кинотеатрларда болу керек болғанымен, тек өзіңіздің кинотеатрыңызға хат жазуыңыз керек",bad
35165,The Walking Dead эпизодының сегіз сериясы,bad
35166,"жақсы, мен қазір жақсы емеспін",bad
35167,"мен Тессороға барғым келеді, сүйікті mggg-мен бірге баруға тура келді",bad
35168,"иә, бұл ренжіген кезде ең жаман нәрсе, содан кейін сен ешқайда кетпейсің",bad
35169,және мен мылқау боламын және бағынбаймын,bad
35170,ауа райы менің қорқынышты жөтеліме сәйкес келеді,bad
35171,"Кез-келген адамды алып, құшақтай алатын күндеріңді сағындым",bad
35172,Бұл қызыл қаншық қайтадан үстелдің ортасында ашуланды,bad
35173,"балалық шақта бәрі шөпке тізе бүкті, мен ит стиліндемін",bad
35174,жаман дәрігер басқа клиникада көріңіз,bad
35175,Пол Уолкердің өлгеніне әлі де сене алмаймын,bad
35176,сондықтан мен сериялық өлтірушімін,bad
35177,"менің әкемде сізде бмв бар, бұл сізге онша тартымды емес сияқты",bad
35178,"жаңа ғана найзағай ойнап, найзағай жарылды",bad
35179,"Енді мен бүгін таңертең оралып, көкірекшемен құшақтағым келеді, басқа ештеңе қажет емес",bad
35180,rt ешкім жауап қайтармайды,bad
35181,"бүгін мен үлкен қонжықты көрдім, енді мен аюды қатты қалаймын, бірақ маған ешкім 5 дана аю бермейді",bad
35182,"Мен сізді кенеттен жай ғана сүймеймін, сіз әдемісіз",bad
35183,"ахх, бірақ кеше мен дат әйелінің кеңестерін кесіп алдым, содан кейін салонда мұндай ұсақ-түйек үшін 3 ее тастадым, өйткені бұл торт емес",bad
35184,99. Аудиторлық реферат,bad
35185,"Мен тіс дәрігеріне тезірек барғанымды қалаймын, мен өсіп келе жатқан даналық тістің маған әкелетін бұл 4-ші күніне шыдай алмаймын",bad
35186,rt сәбіз саясаты сәтті болмады,bad
35187,"сука де концерттегі шу, мен оған барған жоқпын, мен шуды қатты жақсы көремін, өмір жеңімпазы",bad
35188,"иә, бұл маған да таныс",bad
35189,ерте тұрған кот мысық оянды,bad
35190,"Манчестер Сити 1 - Southampton футболын көріп, ойын аяқталды",bad
35191,"Мен де бүгін кем дегенде біреуін жазайын деп едім, бірақ басына ештеңе кірмейді",bad
35192,"мен не айта аламын иә мен маджонг нихуянға мана шегемін, түсінбеймін",bad
35193,"әйелі әйелдермен қайта сөйлесуді шақырды, твиттермен тағы сөйлесуге болмайды",bad
35194,"ааааа, менде бар-жоғы 8 эфир бар, қазір мен барлық интригаларды бұздым",bad
35195,"rt қалыптылығы өте скучно адам үшін төзгісіз скучным лақтыратын скучно, ең болмағанда іліп қою",bad
35196,"соңғы таза шалбардағы шайтан, ұя салуға болатын рейшаланың қандай-да бір түрі, енді айналасындағыларды таза іздеу керек",bad
35197,"Мен үшін қымбат адамдарды ренжітемін, мен осындай адаммын",bad
35198,менің интернетім мені ренжітті,bad
35199,"суық минус екі ихихи плат, осы қыста қалай өмір сүремін",bad
35200,дв және ежелгі ахахах шевченко сіз мені қорқытасыз,bad
35201,"ол күн сайын таңертең мені үрлейді, бірақ мен оятар сағатты кімге қойдым, қазір тұрғаным жақсы",bad
35202,"Орфей өте жақсы, кешіріңіз, либреттомен бағдарламалар біткенге дейін, мен оларға моринск тіліндегі тәржімамен аударма сызығын келтірдім",bad
35203,"хахах туралы бесті беріңіз, сондықтан барлық күш-жігер есекке кетеді",bad
35204,Жүргізу сынағының алдында жаяу жүргінші басқа адамдарды басып озған кезде мен өзімнің бұрылыс сигналдарымды саусақтарыммен көрсетемін,bad
35205,бізде үйлесімсіздік бар екенін түсінетін кез келді,bad
35206,бүгін мен еріксіз жүргізушімен кнопкалық байланысты қолдануды үйренуге тура келді,bad
35207,"мен еріншек емеспін, жай отыруға және ләззат алу үшін фикс жазуға уақыт жоқ",bad
35208,"Мен мұндай болады деп ойламадым, бірақ бастысы сіз өзіңіз азап шеккен болсаңыз да, орнынан тұрыңыз",bad
35209,Мен бұл телефонды ешқашан түсінбейтінімді сеземін,bad
35210,"3 ағынның арқасында менікі ақымақтықпен өзгерген жоқ, ешнәрсе қорлықсыз, бұлай болуы керек еді",bad
35211,"жаңа құрылғыдан шыққан алғашқы твит қызықты, бірақ резервтік контактілерді ұмытып кеттім",bad
35212,Мен шокпын 3 2 жігіт ойлаймын сен ұпай жоғалтпайсың,bad
35213,"бұл жерде күлкілі әзіл бар, бірақ мен бәрінен жаманды күлмеймін",bad
35214,инъекциялар инъекцияларды қалай жақсы көремін қаншық,bad
35215,"таңертең сізде сәттілікке жететін адамдар аз болады, күннің аяғына дейін адамдар үйіліп қалады",bad
35216,"Мен Киевке ұшақ билетін алғым келеді, бірақ таңертең рейстер өткізілмейді, тек кеш бар",bad
35217,"егер мен ата-анам мектеп кезінен бері көрмеген сыныптасының бізге қонаққа келетінін білсем, Санкт-Петербургте қалады",bad
35218,Кеше жұптарға бару үшін компьютерімнен өшіруім керек болды,bad
35219,"жақсы, бұл қазірдің өзінде толығымен",bad
35220,rt әдемі еркектер еркектерді кәсіподақ квн жоғарғы лигасымен суретке түсірген жоқ,bad
35221,rt күнделікті үздіксіз бомбалауда кімге бірінші орын беретінін де білмейді,bad
35222,бұл ғимарат мәңгілік мұзда салынды және ru ff ерітудің басталуымен құлап түсті,bad
35223,"тек мен сияқты емес, олар онымен амандасады",bad
35224,"Менің браузерім жабылып, барлық ашық сілтемелер ұмытып кететін болса, мен оны жек көремін, ол жерде не ашылғаны есімде жоқ",bad
35225,"біз қаншалықты жалықтырамыз, менің басым ауырады",bad
35226,"уақыт 1 56 және мен ұйықтай алмаймын, өйткені менің пышағым ауырады",bad
35227,"avast мені жіберді, ол қосылмайды, енді менің компьютерім қорғалған жоқ",bad
35228,rt - бұл аздап оңай болу қиын,bad
35229,"naaaaast және viiiik Маған сіздің көмегіңіз керек Маған Хрущевтің басқаруымен құрылыс индустриясының дамуы туралы жазу керек, маған көмек таба алмай отырмын d",bad
35230,асқазан ертеңгі күнге дейін серуендеуге шықпайды,bad
35231,"сен саяхатқа барудан шаршадың, өйткені мен жақында кетемін, мен сені ессіз сағынамын",bad
35232,тінтуір тәрізді фискокалы тамақтан кейінгі әлсіз байланыстар,bad
35233,"16 жаста, содан кейін 97-де туылған ППК өзін ескі сезінді",bad
35234,"Мен достарыммен жүрген сайын мен олармен араздасамын, мен жаман доспын, енді жүрмеймін",bad
35235,менің інімнің қабырға соғып жатқанына жанашырлық танытыңыз,bad
35236,"келесі апта қазірдің өзінде несие аптасы болып табылады, бұл уақыт өте жылдам өтеді, сондықтан мылқауды үйрену керек",bad
35237,"rt соншалықты ұят, олар Диманы тікелей жындымен құттықтаған жоқ",bad
35238,"мұңды нәрсе, музыка қалайша мұңды",bad
35239,"Осыншама адам қайда, қаншық, неге үйде отыра алмайсың?",bad
35240,"дауыссыз қандай жаман, бұл адам төзгісіз, бастысы, мен ән айтпай бір күн де ​​алмаймын, міне, мен азап шегуім керек",bad
35241,"иә, мен әлі кішкентаймын, мен әлі 18 жасымда өсіп, өсуім керек",bad
35242,"rt соңғы уақытта мен ұйқыға орта есеппен 2 түнде барамын, бұрынғыдай емес, 1",bad
35243,"жарайды, мен оның тірі бүлдіргіш болатынын білдім",bad
35244,жақсы әкеге рахмет енді менде терінің қатерлі ісігі бар деп қорқамын,bad
35245,қара киімді ер адамдар патрульдеу,bad
35246,"аааааа мен неміс тілінде эссе үйреніп жатырмын, мен қазір өлемін",bad
35247,"Мен бүгін ертең жуамын, мен Зоя мен Жаннамен бос емес едім",bad
35248,"ал Егорка маған ұзақ уақыт бойы жазаланғанын және қыдыруға болмайтынын айтты, мен оған ренжідім",bad
35249,"Мен қатты ренжідім Musti қалдырылды Даниэль Юлька Istanbul-ға кетіп қалады, егер Джонни жоқ болса, онда бәрі капетс болса, анимациямен қоштасады",bad
35250,"бүгін Майданда менің қалай барғым келетінімді кінәлайды, өкінішті, мұндай уақытта үйге жететін ештеңе болмайды",bad
35251,"Маған жаңа ғана екі таблеткаға тастаған стакан су береді, бұл көзге ғана емес, бас қысымына да ауырады",bad
35252,"менің хостерімнің сервері қалған 3-імен бірге апатқа ұшыраған сияқты, өйткені тіпті хостердің жеке сайты да жер жыртпайды",bad
35253,"Құдай сәби қуыршақтың қарынын тездет, ол қыңқылдап, серуендеп жүргенде бара алмаймын",bad
35254,хмм екінші күні мен ру джейбер құлайды,bad
35255,"Мен екі-үш күн бойы байланысқа шықпайтын адамдарға жасырын түрде қызғанамын, сен неге ол жерде бос уақытың жоқ, уақытың жоқ",bad
35256,сіз қайда көбіктендіңіз және менсіз hdd,bad
35257,"Мен келдім және ас үйде шу шығара бастадым, ол да бір әнді 4 рет тыңдайды, мен үнемі ұйықтап жатқан кейіпте боламын",bad
35258,соңында тек қорқынышты әйел бар,bad
35259,shagnal shalgarualtalt n'arai l uchir замбараагаа алдьихим жарқырады болохор хамгиин byalduuch dolignuur gedeg shagnal ogohh uu,bad
35260,"rt бәрін ұмыту керек, бірақ мен сөйлеудің және бәріне кеңес берудің шеберімін, бірақ өзімсінбеймін",bad
35261,"Менің үйде Ролтон жоқ, бітті",bad
35262,әдебиет олимпиадасы үшін не білуіңіз керек,bad
35263,"міне, олар қазіргі заманғы әлемнің проблемалары, Интернетке ақшамен аяқталды және менің банктегі 3D қауіпсіздігі қандай-да бір өтірік.",bad
35264,Маған ұқсайды немесе мен сенбіде ессіздікті қайтару үшін ойнадым,bad
35265,Мен оларсыз жынды бола алмаймын,bad
35266,бәрі өте жаман Мен ешқашан сені жоғалтамын деп ойлаған емеспін,bad
35267,128-де бұл кейінірек жақсы болады деп үміттенемін,bad
35268,rt жаман көктем басталды,bad
35269,"Мен Twitter паролімді ұмытып кеттім, тек бір айдан кейін кірдім",bad
35270,"Менің ойымша, командалар менің ұтыс тігулерім үшін жеңіске жете алмайтынына сенімдімін",bad
35271,aza stan arularyn k rdm basim blg ne dem yzdar dep ayta alm ed m tonnala an cosmetics,bad
35272,"Рт, құдай-ау, мииило, оны тек ағасы тауып алып, өртеп жіберді",bad
35273,"rt браузердің қойындысында шатасып кетті, әрқайсысы 3 компьютерлік терезе, әрқайсысы екі компьютерлік қойынды",bad
35274,"rt аузымды саусақтарымнан жауып тастадым, мен оған қатты ұнайтынымды айтқым келеді",bad
35275,"сондықтан мен бұл туралы сабырлы түрде ойлана алмаймын, әйтпесе бәрі сабырлы бақылауда, бірақ збс өмірі тек збс",bad
35276,"Мен әлі қамыр жасай бастаған жоқпын, бірақ ас үй онсыз да ретсіз",bad
35277,"Мен өзімді қысқа уақытқа бөліп алуым керек, бұл мен үшін тыныштықты жақсы көреді",bad
35278,"Kick Мен үлкен чемпионаттарды түсінемін, бірақ Зимбабве тым көп",bad
35279,"үйдің жанында отшашулар болды, суретке түсуге уақыт болмады",bad
35280,"сыбайлас жемқорлық қазір Кавказдың барлық тиімді тапсырыстарынан он есе көп, сондықтан біз басқа салаға бардық",bad
35281,"Неліктен өмір екі мың шақырым қашықтықта бөлек, ал менде ондай жоқ",bad
35282,"Мен, әрине, Александр Самарина үшін тамырлас болдым, бірақ тағдыр емес",bad
35283,"ұдайы өзгерту керек болатын ақымақ парольдің кесірінен, мен твиттерге қандай да бір қосымшаны қоса алмаймын",bad
35284,"бәрі жақсы сияқты, бірақ бәрібір жылағысы келеді",bad
35285,"ахахаха, содан кейін мен бірдеңе табу үшін интернетке кіріп, өмірдің азабын таппадым",bad
35286,"rt трафик бар, бірақ интернет бок сияқты жұмыс істейді",bad
35287,аяқтар шынымен шаршап жатқан ППС,bad
35288,не бұзылған және онымен қалай күресу керек,bad
35289,біз сияқты миллиондаған адамдар,bad
35290,"Мен оларға жүз твит жібердім, олар басқа елдерді қосады",bad
35291,Мен де сиссиді көргім келеді,bad
35292,ахахах қандай керемет кешіріңіз қазірдің өзінде бос емес,bad
35293,"Мен оралдым 3-ші отряд Мен сені сүйемін күні бойы гүрілдегенді жақсы көремін, әйтеуір біздің залдағылардың барлығын алғым келмейді",bad
35294,"және бүгін мен бұрын-соңды болмағандай жаман сезінемін, басым ауырып, төсекте жатғым келмейді",bad
35295,"нт жаңбыр қанша қар жаууы мүмкін, мен оны дымқыл және ашуланған балалар сияқты жек көремін",bad
35296,мен үшін де дұрыс,bad
35297,"бастысы - Настя Даша сенің қасыңда, сен менімен жалғызсың",bad
35298,"Ия, біз есімізде, қайғы-қасіретті жақсы көреміз және көмектесе алмаймыз",bad
35299,RT жобаларын сканерлеу компиляция кезінде қосымша 5 секундтық кідірісті қалай тездетеді,bad
35300,"егер сіз кітапта ұшып жүрсеңіз, taka beauty yakos zooovs m үйде бір сағат болғыңыз келмейді, емтиханға дайындалыңыз",bad
35301,"бля, сен не, сен кімсің 99",bad
35302,ehleed b gd chamaig r vd n sain kh niy dr esgene aazmar alga boltsgoono etset n jinhene xnl derged ldekh blg y,bad
35303,"егер менің қолым есегімнен өсіп кетсе, мен ештеңе жасай алмаймын видео",bad
35304,"rt және дәл қазір мен құрғақ және жылы шағын автобустан шығып, жаяу жүруім керек",bad
35305,"иә, Windows 7-де жұмыс үстелінің тұсқағазын өзгертуді меңгерген жоқпын",bad
35306,мені суретке түсіру үшін бір нәрсе басып қалды,bad
35307,9,bad
35308,"rt o o psi қай координаттар қазір шайнаманы қай жерден жібереді, шефт қай жерде екенімді білді",bad
35309,"Менің ойымша, кейде сізге біреу керек сияқты болып көрінеді, бірақ содан кейін қиылысу керек деп ойлайсыз",bad
35310,"мен үлкен қолшатырдың астында трек тыңдағанда, менің басымда өте қатал суреттер бар, олар ойлардың ағынымен жүреді",bad
35311,наташа ты чего не оценила такой фильм,bad
35312,"қайтадан қайтадан мұнда тек мүмкіндік пайда болды, мен қарғыс атқанымдай, мен тек жеңіліп қалдым",bad
35313,"бір рет 1 серуендеу, мен қарасам, құдай рұқсат етеді",bad
35314,"dr керемет енді аяқталды, бұл өте жақсы емес",bad
35315,видеться с родными только на кпп какая тупость,bad
35316,қайтадан жақсы балалардың жыламайтынын көрдім әлі тыныштық ала алмаймын,bad
35317,наконец то я сделала полностью курсовую по финансам предприятия половина была не правильно пришлось все переделывать,bad
35318,"түсіну қаншалықты қиын, бірақ мен ақымақ ретінде үміттендім",bad
